id,Nombre Comercial,Clasificación,Categoría,Dirección,Dirección Web
237,VICTOR HUGO HOTEL PUERTO LOPEZ,HOTEL,2 Estrellas,MALECÒN JULIO IZURIETA S/N 24 DE MAYO,www.victorhugohotel.com.ec
238,HOSTAL EL REFUGIO,HOSTAL,1 Estrellas,AV D ELAS AMERICAs s/n daniel alvarado,
239,LA ORQUIDEA SIVILLANA,CASA DE HUÉSPEDES,Categoría única,AV. 10 DE AGOSTO S/N DIAGONAL AL MUNICIPIO,
240,SAN LUIS.,HOTEL,2 Estrellas,CHAPETONES. 1-52 AV. GIL RAMIREZ DAVALOS.,
241,COSTA LINDA,RESTAURANTE,TERCERA,AV DE LAS AMERICAS Y JUAN PIO MONTUFAR,
242,FOGATA,HOSTAL,1 Estrellas,AVENIDA PICHINCHA LOTE 3 CALLE BERTHA VALVERDE,
243,FLORESTA BRAVA,RESTAURANTE,TERCERA / 2 TENEDORES,LA CORUÑA N24-20 y GUIPUZCOA,
244,POSADA DEL ANGEL,HOTEL,2 Estrellas,Bolivar 14 11 Estevez de toral,Www.hostalposadadelangel.com
245,NUESTRA CASA- OUR HOME BY A2CC - CUENCA,LODGE,3 Estrellas,VIA A SIDCAY CALLE JULIA BERNAL S/N S/N,www.access2culture.wordpress.com
246,NUESTRA CASA- OUR HOME BY A2CC - TARQUI,LODGE,3 Estrellas,VÍA A SAN AGUSTÍN S/N S/N,
247,NUESTRA CASA- OUR HOME BY A2CC - YUNGUILLA,LODGE,3 Estrellas,VIA A GUALDELEG S/N S/N,
248,POLLERIA GUZ-MAN,RESTAURANTE,TERCERA,CDLA. ATARAZANA SOLAR 1 MZ. M1,
249,NOA NOA,DISCOTECA,SEGUNDA,PRESIDENTE CORDOVA 5-86 Y HERMANO MIGUEL,
250,MONTECARLO ISIAH,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,JAIME ROLDOS 1-40 Y GUAPONDELIG,
251,RANCHO ALEGRE,RESTAURANTE,CUARTA,KM 13 VIA INTEROCEANICA,
252,SANTA ANA,SALA DE BAILE,SEGUNDA,SUCRE N.- 14-70 Y CORONEL TALBOT,
253,PERNILES LOS ,FUENTE DE SODA,TERCERA,JUAN JARAMILLO 3-25 Y TOMAS ORDOÑEZ,
254,DESCANSITO EL ,RESTAURANTE,CUARTA,HURTADO MENDOZA 13-69 E INGAPIRCA,
255,WARMIKUNA,RESTAURANTE,TERCERA,HERMANO MIGUEL 5-42 Y HONORATO VASQUEZ,
256,MAMA CUCHARA,RESTAURANTE,TERCERA,CDLA. URDESA CENTRALVICTOR EMILIO ESTRADA # 1216 Y LAURELES     2 1,
257,DON CESARIN,RESTAURANTE,(1) Un tenedor,PUMAPUNGO 02-30 PASEO DE LOS CAÑARIS,
258,CABAÑAS DEL PESCADOR,RESTAURANTE,TERCERA,VIA A CUENCA NARANJAL KM 12,
259,CASA DEL ÁGUILA,HOSTAL,3 Estrellas,MARISCAL A. JOSÉ SUCRE 13-56 JUAN MONTALVO,
260,RESTAURANTE RAYMIPAMPA,RESTAURANTE,(2) Dos tenedores,Benigno Malo  8-59 Sucre,www.raymipampa.com
261,EL CAJAS,HOSTAL,2 Estrellas,TARQUI 7-92 SUCRE,
262,HOSTERIA LOS CISNES,HOSTERÍA,3 Estrellas,PORTOVELO SEGUNDA ENTRADA S/N S/N,
263,AÑOS 80,BAR,TERCERA,AV JOSE PERALTA ,
264,LA ESCALINATA,HOSTAL,1 Estrellas,CALLE LARGA 5-83 HERMANO MIGUEL,
265,CRISTAL PALACE DANCE,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,AV. 12 DE OCTUBRE Y AV. DON BOSCO,
266,LA TINAJA,RESTAURANTE,(1) Un tenedor,23 DE ENERO 4-45 JUAN BAUTISTA COBOS,
267,HOSTAL LA MERCED,HOSTAL,2 Estrellas,HONORATO VASQUEZ 5-66 HERMANO MIGUEL,
268,D´POCHOS,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,ALFONSO VINTIMILLA  Y 15 DE NOVIEMBRE,
269,LATIN DANCE,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,AV. LOS ANDES Y YANAHURCO,
270,ANIS PIMIENTA Y CANELA,RESTAURANTE,CUARTA,MIGUEL MORENO 4-28 Y JACINTO FLORES,
271,SANTA FE,HOSTAL,2 Estrellas,PRESIDENTE BORRERO 5-57 HONORATO VAZQUES,
272,DON HUMBER SANDUCHERIA,CAFETERÍA,SEGUNDA,Cristobal Colón E8-55 y Diego de Almagro,
273,MI ESTACION,RESTAURANTE,TERCERA,EL RAMAL,
274,FUNDICION LA ,BAR,TERCERA,ALFONSO CORDERO 3-35 Y MIGUEL CORDERO,
275,RED LOBSTER,RESTAURANTE,CUARTA,ANTISANA Y BUERAN,
276,VILLA RITA ,CASA DE HUÉSPEDES,Categoría única,BENIGNO MALO 14-86 RAFAEL MARIA ARIZAGA,
277,SUGAR,RESTAURANTE,(2) Dos tenedores,remigio crespo s/n antonio tamariz,
278,DON Q,RESTAURANTE,SEGUNDA,GRAN COLOMBIA Y 9 DE OCTUBRE,
279,LOS HELECHOS,HOSTAL,2 Estrellas,El Chorro 1-50 Gil Ramirez,
280,BERTUCHIS,RESTAURANTE,(1) Un tenedor,AV UNIDAD NACIONAL S/N PADUA,
281,RANCHOS,FUENTE DE SODA,PRIMERA,AV. REMIGIO CRESPO 4-33 Y RICARDO MUÑOZ,
282,ANANDA,CAFETERÍA,CUARTA,HERMANO MIGUEL 7-24 Y PRESIDENTE CORDOVA,
283,HOTEL CASA SUCRE,HOTEL,3 Estrellas,MARISCAL SUCRE 12-19 TARQUI,www.casasucre.com
284,CAFETAL DE LOJA,FUENTE DE SODA,TERCERA,SUCRE 10-50 Y GENERAL TORRES,
285,RIO GRILL,RESTAURANTE,TERCERA,PAUTE,
286,SACA LA RESACA,RESTAURANTE,CUARTA / 1 TENEDOR,AV. OSWALDO GUAYASAMÍN   OE2-23 Y JUAN MONTALVO,
287,CHUZOS MARGARITA,FUENTE DE SODA,TERCERA,ANTONIO DELGADO 7-51 Y DAVILA CHICA,
288, DOS CHORRERAS,HOSTERÍA,4 Estrellas,VIA AL CAJAS S/N S/N,www.hosteriadoschorreras.com
289,VILLA SAN CARLOS,SALA DE RECEPCIONES Y BANQUETES,PRIMERA,REMIGIO TAMARIZ 1-85,
290,SEVILLA DE ORO,HOTEL,2 Estrellas,11 DE JULIO s/n FRENTE AL PARQUE CENTRAL,
291,FOGATA LA,RESTAURANTE,TERCERA,BENIGNO MALO N.- 12-06 Y SANGURIMA,
292,COBAYO EL ,RESTAURANTE,TERCERA,BENIGNO VAZQUEZ 6-30 (RICAURTE),
293,DREAMS,SALA DE BAILE,SEGUNDA,BENIGNO VASQUEZ S/N (RICAURTE),
294,HOSTAL GABRIELITA,HOSTAL,2 Estrellas,LOS ANDES S/N MEJIA,
295,CASA TIO SHANTA,CASA DE HUÉSPEDES,Categoría única,SIN NOMBRE SN 1RO DE SEPTIEMBRE,
296,HOTEL  ANTARES,HOTEL,2 Estrellas,LUIS CAROLLO 16/31 11  DE FEBRERO,
297,COLOMBIANAS N° 2 LAS,RESTAURANTE,TERCERA,BENIGNO MALO 6-29 Y JUAN JARAMILLO,
298,COLOMBIANAS NO.2,RESTAURANTE,TERCERA,PRESIDENTE CORDOVA 9-72 Y PADRE AGUI,
299,CHILL & GRILL FUSION FOOD,RESTAURANTE,TERCERA,JOSE PERALTA 3-95 Y ALFONSO CORDERO,
300,EL TEQUILA,RESTAURANTE,(3) Tres tenedores,GRAN COLOMBIA 20-59 LEON XIII,
301,RINCONCITO DEL RECUERDO,RESTAURANTE,TERCERA,MARIANO CUEVA 13-11,
302,LOUNGE SKY,BAR,(3) Tres copas,BENIGNO CRESPO 104 JOSE PERALTA,
303,"HOSTAL ""LOS ALAMOS""",HOSTAL,2 Estrellas,Madrid 1-42 Av. España ,
304,HOTEL MOISES,HOTEL,2 Estrellas,HUAYNA CAPAC 4-57 ROCAFUERTE,
305,DOLCE HELADERIA,FUENTE DE SODA,TERCERA,FEDERICO PROAÑO 4-37 Y REMIGIO TAMARÍZ,
306,HOTEL INTEROCEANICO,HOTEL,4 Estrellas,QUITO SN DOMINGO COMIN,
307,DIPLODOCUS,RESTAURANTE,TERCERA,JUAN JARAMILLO 4-37 Y VARGAS MACHUCA,
308,BALCON CUENCANO,HOSTAL,1 Estrellas,Sucre 805 Olmedo,
309,HOSTAL AMANCAY,HOSTAL,2 Estrellas,gran colombia 10-85 General torres,
310,LA CASA DEL MARISCO,RESTAURANTE,(2) Dos tenedores,paucarbamba 5-09 luis moreno mora,
311,LA RIELL,RESTAURANTE,TERCERA / 2 TENEDORES,FRANCISCO DE ORELLANA E1-126 Y ELOY ALFARO,
312,SANTA CANELA,HOSTAL,3 Estrellas,CALLE LARGA 3-82 CORONEL VARGAS MACHUCA,
313,VILLA VINTIMILLA,HOSTAL,1 Estrellas,REPUBLICA  2-50 GUAPONDELIG,
314,PATATAS CHICKEN JULY´S,RESTAURANTE,TERCERA,VIA A PATAMARCA Y PASEO RIO MACHANGARA,
315,DOÑA MENESTRA,RESTAURANTE,SEGUNDA,PATIO DE COMIDA MONAY SHOPING,
316,HM DE COLECCION,HOSTAL,3 Estrellas,HERMANO MIGUEL 4-79 HONORATO VAZQUEZ,www.hostalelmonasterio.net
317,CUENCA ROOMS,CASA DE HUÉSPEDES,Categoría única,AGUSTIN CUEVA VALLEJO 7-20 P.J. MATOVELLE,
318,PIQUITOS,FUENTE DE SODA,SEGUNDA,VEINTIMILLA N23-31 Y AV. AMAZONAS,
319,EL REY DEL BURRITO,RESTAURANTE,(1) Un tenedor,ALFONSO CORDERO 2-93 MANUEL J. CALLE,
320,CHICKEN MARKET PLACE,RESTAURANTE,TERCERA,PAUCARBAMBA 4-114 Y ALFONSO MORENO,
321,D´LEITE,FUENTE DE SODA,TERCERA,VARGAS MACHUCA 6-73 Y PRESIDENTE CORDOVA,
322,SOL DE ORO,RESTAURANTE,CUARTA,BULLCAY,
323,ZOOCIEDAD,BAR,TERCERA,BAJADA DEL PADRON Y PASEO 3 DE NOVIEMBRE,
324,SALON DE EVENTOS Y RECEPCIONES LA CARRETA,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,SECTOR CHIQUINTUR,
325,POLLOS GUISUS,RESTAURANTE,TERCERA,CALLE CUENCA 9-50 Y LUIS RIOS RODRIGUEZ,
326,SANTA BARBARA,HOSTERÍA,PRIMERA,AV LOJA Y SUCRE,
327,OLIVOS LOS ,RESTAURANTE,SEGUNDA,AV. JOSE PERALTA Y AV. DEL ESTADIO,
328,TROPICAL JUGOS NATURALES,CAFETERÍA,TERCERA,HERMANO MIGUEL 8-67 Y BOLIVAR,
329,MAVAANIC,HOSTAL,2 Estrellas,AVENIDA GIL RAMIREZ DAVALOS 3-10 EL CHORRO,
330,RESTAURANTE LOS KANIBALES,RESTAURANTE,(1) Un tenedor,AV LAS AMERICAS S/N AMAZONAS,www.restaurantekanibales.com
331,TAXI,BAR,TERCERA,AV. UNIDAD NACIONAL Y AV. 3 DE NOVIEMBRE,
332,COPPELIA,RESTAURANTE,(1) Un tenedor,SIMON BOLIVAR 11-78 TARQUI,
333,COPPELIA,RESTAURANTE,(2) Dos tenedores,FELIPE II S/N CIRCUNVALACION SUR,www.google.com
334,BONTTI,CAFETERÍA,(1) Una tazas,GONZALO CORDERO S/N AGUSTIN CUEVA,
335,LA PIZZA DE JUANJA,RESTAURANTE,(2) Dos tenedores,RAFAEL TORRES BELTRAN 1-37 SANTIAGO CARRASCO,
336,BONTTI CENTRO,CAFETERÍA,(1) Una taza,BOLIVAR 8-28 LUIS CORDERO,
337,NASS PILAR DEL LAGO,HOTEL,3 Estrellas,AV. ORDOÑEZ LASSO S/N HIGUERILLAS,www.nasshotels.com
338,NASS BED & BREAKFAST,HOSTAL,2 Estrellas,FEDERICO MALO 1-261 TADEO TORRES,www.nasshotels.com
339,MONTE BIANCO No. 4,FUENTE DE SODA,PRIMERA,PADRE AGUIRRE Y MARISCAL LAMAR,
340,MONTE BIANCO N°7,FUENTE DE SODA,SEGUNDA,"AUTOPISTA AZOGUES - CUENCA, CENTRO COEMERCIAL PLAZA SUR, LOCALES 6 Y 7",
341,MONTE BIANCO No. 2,FUENTE DE SODA,PRIMERA,REMIGIO CRESPO Y JUAN IÑIGUES,
342,MONTE BIANCO No. 5,FUENTE DE SODA,PRIMERA,BENIGNO MALO 5-34 Y CALLE LARGA,
343,EL GRAN ASADOR,RESTAURANTE,(1) Un tenedor,DON BOSCO S/N FRANCISCO DE ORELLANA,
344,THE PENTHOUSE HOSTAL,HOSTAL,2 Estrellas,LOS HERVIDEROS  S/N ALFONSO CARRION HEREDIA,
345,SABROSON EL,FUENTE DE SODA,TERCERA,AV. DEL ESTADIO 9094,
346,GUAJIBAMBA,RESTAURANTE,(2) Dos tenedores,LUIS CORDERO 12-32 GASPAR SANGURIMA,
347,SANTO COMIDA MEXICANA EL,RESTAURANTE,TERCERA,CALLE LARGA 9-82 Y PADRE AGUIRRE,
348,HOSTAL OXFORD,HOSTAL,1 Estrellas,huaynacapac 3-60 sangurima,
349,FOGONAZO CUENCANO EL ,RESTAURANTE,TERCERA,5 DE FEBRERO 4-70 Y 3 DE NOVIEMBRE,
350,HOTEL LA DEHESA,HOTEL,2 Estrellas,AZUAY 160-48 OLMEDO Y BERNARDO VALDIVIESO,
351,ASADOS RESTAURANT EL NORTEÑO,RESTAURANTE,(1) Un tenedor,AV. PASEO DE LOS CAÑARIS 5-32 YANAHURCO,
352,UNION LA ,BAR,TERCERA,VIA ANTIGUA GIRON PASAJE,
353,HOTEL MANANTIAL,HOTEL,2 Estrellas,AV. ESPAÑA 2-27 NUÑEZ DE BONILLA,
354,CAFERTERIA LAS HERRERIAS II,CAFETERÍA,(1) Una taza,LAS HERRERIAS  1-35 AV. 12 DE ABRIL,
355,NUESTRA RESIDENCIA,HOTEL,2 Estrellas,LOS PINOS 1-100 AV ORDOÑEZ LAZO,www.hostalnuestraresidencia.com
356,VISTA VALLE,RESTAURANTE,SEGUNDA,TURI,
357,EJECUTIVO,RESTAURANTE,TERCERA,AV. 8 DE ABRIL 536 Y MOZART SAFADY,
358,ITALIANOS PIZZA,RESTAURANTE,TERCERA,AV. HURTADO DE MENDOZA 11-08 Y AV. PASEO DE LOS CAÑARIS,
359,KOLIBRI B&B,HOSTAL,3 Estrellas,AV. 27 DE FEBRERO 6-42 ARTURO VALENCIA,www.hostalkolibricuenca.com
360,SALON DE EVENTOS Y RECEPCIONES QUINTA MARGARITA,SALA DE RECEPCIONES Y BANQUETES,LUJO,CALLE DEL PEREJIL S/N SECTOR PUMAYANGA,
361,QULLKANA,CAFETERÍA,(1) Una tazas,JUAN JOSE FLORES S/N ALFREDO BAQUERIZO,
362,D'LOLAS CAFE,CAFETERÍA,CUARTA,JUAN JARAMILLO 6-11 Y HERMANO MIGUEL,
363,GOLDEN PALACE,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,AV. DE LAS AMERICAS 3-69 Y ANTONIO VALLEJO,
364,RODEO EL ,RESTAURANTE,TERCERA,9 DE OCTUBRE Y GRAN COLOMBIA ,
365,HOTEL SANTA ANA,HOTEL,3 Estrellas,PRESIDENTE CORDOVA 11-49 TARQUI,www.hotelsantaana.com
366,HOTEL SANTIAGO DE COMPOSTELLA ,HOTEL,3 Estrellas,AV DE LAS AMERICAS SN GRAN COLOMBIA,
367,PARIS BY CHELO,BAR,TERCERA,JUAN MONTALVO 7-11 Y PRESIDENTE CORDOVA,
368,HOTEL RIOS DEL VALLE,HOTEL,2 Estrellas,MARIANO CUEVA 7-21 PRESIDENTE CORDOVA,
369,CUENCA HOSPEDAJE,CASA DE HUÉSPEDES,Categoría única,SUCRE  12-42 JUAN MONTALVO,
370,COLONIAS LAS N 6,RESTAURANTE,TERCERA,CALLE LARGA 11-07 Y GENERAL TORRES,
371,AMADEO SUNRISE - HOSTAL,HOSTAL,2 Estrellas,CARRETERA C S/N CALLE H,
372,ALEJANDRITA,RESTAURANTE,CUARTA,VIA PRINCIPAL A PAUTE,
373,JYMMY'S,RESTAURANTE,CUARTA,CALLE VIEJA 11-73 Y ELIA LIUT,
374,MUCCHA,CAFETERÍA,SEGUNDA,FEDERICO PROAÑO 3-64 Y HONORATO LOTOLA,
375,MUCCHA N. 3,FUENTE DE SODA,PRIMERA,"FELIPE II Y CIRCUNVALACION SUR, C.C. MALL DEL RIO, PLANTA BAJA, ""ISLA""",
376,POMELE,SALA DE RECEPCIONES Y BANQUETES,PRIMERA,CHALLUABAMBA,www.quintapomele.com
377,MC CHIKEN,RESTAURANTE,SEGUNDA,AV.12DE ABRIL Y FLOREANA,
378,TEQUILAZO EL ,RESTAURANTE,TERCERA,CARLOS ARIZAGA VEGA E ISAURO RODRIGUEZ,
379,CASA DEL BARRANCO,HOSTAL,2 Estrellas,CALLE LARGA 8-41 LUIS CORDERO,www.casadelbarranco.com
380,THE FLAVOR BURGUER,FUENTE DE SODA,TERCERA,JULIO MATOVELLE Y TAMARIZ,
381,HOSTAL CASA LLORET,HOSTAL,1 Estrellas,CARLOS QUINTO 312 ISABEL LA CATÓLICA,
382,ITALIANA LA,RESTAURANTE,SEGUNDA,PRESIDENTE CORDOVA 1-25,
383,MONO CHICO,FUENTE DE SODA,TERCERA,BALTAZARA DE CALDERON 3-14 y MIGUEL HEREDIA,
384,HANGOVER,DISCOTECA,(2) Dos copas,AV. REMIGIO CRESPO S/N LATINOAMERICNA,
385,PLANETA H CUENCA,CAFETERÍA,(2) Dos tazas,Remigio Crespo Toral s/n latinoamericana,
386,BUM BUM BAR,BAR,TERCERA,PRESIDENTE CORDOVA 5-24 Y MARIANO CUEVA,
387,HOTEL ATAHUALPA,HOTEL,3 Estrellas,MARISCAL SUCRE  3-50 TOMAS ORDOÑEZ,www.hotelatahualpa.com
388,MI PLAYA,CASA DE HUÉSPEDES,Categoría única,AV. ANTONIO GIL S/N MALECON,
389,HOSTAL EL BELEN ,HOSTAL,1 Estrellas,Avenida Jaime Roldos  7-35 y 9 de Octubre ,
390,POSADA PUMAMAQUI ACCOMMODATIONS,CASA DE HUÉSPEDES,Categoría única,HONORATO VASQUEZ 6-28 HERMANO MIGUEL,
391,ALBORADA,HOSTAL,1 Estrellas,JOSÉ JOAQUÍN DE OLMEDO 3-92 AV. ESPAÑA,www.hotelalboradacuenca.com
392,NITE,DISCOTECA,SEGUNDA,PRESIDENTE CORDOVA 1-1140 Y MANUEL VEGA,
393,SKIS,SALA DE RECEPCIONES Y BANQUETES,PRIMERA,VIA A RICAURTE SECTOR 4 ESQUINAS,
394,LOS PICANTES DE AZOGUES,RESTAURANTE,(1) Un tenedor,,
395,COPPELIA,RESTAURANTE,(2) Dos tenedores,GONZALEZ SUAREZ S/N RAYOLOMA,www.google.com
396,COPPELIA,RESTAURANTE,(2) Dos tenedores,JOSE PERALTA S/N CORNELIO MERCHAN,www.google.com
397,BUNKER,RESTAURANTE,TERCERA,"CULTURA COSANGA Y CULTURA JAMA COAQUE, SECTOR CHALLUABAMBA",
398,COSITAS 10-24,RESTAURANTE,(1) Un tenedor,BENIGNO MALO 6-55 PRESIDENTE CORDOVA,
399,COSITAS 10-24 ASADERO,RESTAURANTE,(1) Un tenedor,,
400,HELADERIA-CAFETERIA EL FLAMINGO,CAFETERÍA,(1) Una taza,Av la republica Ecuador  0 Guayas ,
401,OTABE JAPANESE - TEPPANYAKI,RESTAURANTE,SEGUNDA,"VIA SAMBORONDON  S/N  KM. 1 1/2  -  EDIF. SAMBORONDON PLAZA, LOCAL #6",
402,CASA DE HUÉSPEDES BELLAVISTA,CASA DE HUÉSPEDES,Categoría única,HERNANDO DE LA CRUZ 3-12 ESTEVEZ DE TORAL,
403,MADERO TANGO,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,"VIA PRINCIPAL A CHIQUINTAD, SECTOR SAN ANDRES",
404,POLLERIA EL BUEN SABOR,RESTAURANTE,TERCERA,AV. DE LAS AMERICAS Y ALFONSO ANDRADE,
405,NAPOLETANA LA,RESTAURANTE,TERCERA,PAUCARBAMBA 3-118 Y FRANCISCO SOJOS,
406,RINCON DEL ZORRO EL ,RESTAURANTE,CUARTA,CALLE DEL OBRERO 5-16 Y ARMENILLAS,
407,LA CAPRINA,CAFETERÍA,(1) Una taza,sector yungillapamba S/N s/n,
408,ASADERO LAS COLONIAS,RESTAURANTE,(1) Un tenedor,Mariscal Lamar 6-51 Hermano Miguel,
409,MILANO'S PIZZAS,RESTAURANTE,TERCERA,CAUPOLICAN Y YANAHURCO,
410,EDU,HOSTAL,1 Estrellas,DE LA O.E.A. Q1 KINGSTON,
411,LAS COSTILLAS DE PALOSO,RESTAURANTE,(1) Un tenedor,cultura cosanga s/n cultura chirije,
412,RANCHO DORADO 1,RESTAURANTE,SEGUNDA,AV ORDOÑEZ LAZO KM 4,
413,RANCHO DORADO N 2,RESTAURANTE,SEGUNDA,AV HURTADO DE MENDOZA ,
414,RANCHO DORADO N 4,RESTAURANTE,TERCERA,LUIS CORDERO 21-74 Y AV DE LAS AMERICAS,
415,SAN FRANCISCO,RESTAURANTE,CUARTA,10 DE AGOSTO Y SUCRE,
416,ASADERO EL TURISTA,RESTAURANTE,CUARTA,VICENTE PEÑA REYES 5-26 Y COLON,
417,RESTAURANT RANCHO EL DESCANSO,RESTAURANTE,(1) Un tenedor,Panamericana S/N Autopista,www.ranchoeldescanso.com
418,PARRILLADAS CHE LUIS,RESTAURANTE,TERCERA,AV. GARCIA MORENO Y EFRAIN ROBLES,
419,PATAGONIA`S,RESTAURANTE,TERCERA,AV. TSAFIQUI Y CESAR VALLEJO,
420,EL MERCADO,RESTAURANTE,(4) Cuatro tenedores,calle larga 8-27 luis cordero,
421,LEONA LA ,FUENTE DE SODA,TERCERA,MONTAÑITA CALLE 10 DE AGOSTO Y AV. PRIIMERA,
422,LAS PALMERAS,RESTAURANTE,(1) Un tenedor,ARGENTINOS S/N CARLOS ZAMBRANO,
423,RETRO VIDEO BAR,BAR,TERCERA,CALLE LARGA 6-102 Y BORRERO,
424,CASA DE HUESPEDES/TU PARADA EN CUENCA,CASA DE HUÉSPEDES,Categoría única,ESTEVEZ DE TORAL 13/90 PIO BRAVO,''
425,HOTEL LA POSADA DE ANDRES,HOSTAL,1 Estrellas,AV. PRINCIPAL S/N KM 52,
426,PROPHECY,BAR,TERCERA,AGUSTIN CUEVA Y REMIGIO CRESPO,
427,BURGUER & COFFEE PLACE,FUENTE DE SODA,TERCERA,REMIGIO CRESPO 1-10 Y AV. SOLANO,
428,PERNILES DE LA SIERRA,RESTAURANTE,SEGUNDA / 3 TENEDORES,LEONIDAS PLAZA N21-223 Y VICENTE ramÓn ROCA,
429,MONTREAL,BAR,TERCERA,CALLE ELIAS BRITO Y ATAHUALPA,
430,MANGIARE BENNE,RESTAURANTE,(2) Dos tenedores,ESTEVES DE TORAL 8-91 BOLIVAR,
431,LOS SAUCES-DT,HOSTAL,1 Estrellas,MANUEL MORENO 4-05 CALLE CUENCA,
432,BIG KABUDAS BURGERS,FUENTE DE SODA,TERCERA,PACHACAMAC 2-50 Y AV. PASEO DE LOS CAÑARIS,
433,ST. LOUIS,FUENTE DE SODA,SEGUNDA,AV. PASEO DE LOS CAÑARIS Y LOS CACIQUES,
434,HOTEL PATRIMONIO,HOTEL,3 Estrellas,Simon Bolivar 6-22 Hermano Miguel,www.patrimoniohotel.com
435,ZONA REFRESCANTE,CAFETERÍA,SEGUNDA,"CALLE 25 DE JUNIO Y AYACUCHO,ESQ",
436, STEPHAN’S ,HOSTAL,1 Estrellas,QUITO S/N DEL EJERCITO,
437,RESTAURANTE EL CHE DE CUENCA,RESTAURANTE,(1) Un tenedor,AUTOPISTA CUENCA MOLLETURO KM 3 S/N,
438,HOSTAL LOS ANGELES,HOSTAL,1 Estrellas,OCTAVIO DIAZ 6-47 GARCIA MORENO,
439,HOTEL EL CISNE,HOTEL,2 Estrellas,Avenida De Las Americas S/N Amazonas,
440,TECLAA LA ,RESTAURANTE,CUARTA,MAX ULHE Y JORGE CARRERA ANDRADE,
441,PLANTACION LA ,RESTAURANTE,TERCERA,VIA GIRON PASAJE,
442,RANCHO SAN ANDRES,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,CISNE ALTO A MEDIO KM DE LA AUTOPISTA AZOGUES CUENCA,
443,PICANTES DE LEO,RESTAURANTE,(1) Un tenedor,HERMANO MIGUEL 9-38 BOLIVAR,
444,RINCON MARINERO,RESTAURANTE,TERCERA,GRAN COLOMBIA No. 6-99 y BORRERO,
445,NUEVO ORO MAR EL ,RESTAURANTE,CUARTA,JUAN MONTALVO 7-23,
446,CARLITA,RESTAURANTE,CUARTA,"AV. INTEROCEANICA, SECTOR EL CABO",
447,AY BENDITO BY BELLOW,DISCOTECA,SEGUNDA,LA CONDOMINE 13-66 Y AV. 3 DE NOVIEMBRE,
448,LA ENFRIJOLADA PRICH-K,RESTAURANTE,(1) Un tenedor,FRANCISCO MOSCOSO 4-31 RAFAEL TORRES,www.laenfrijolada.com
449,KAMAQ,RESTAURANTE,(1) Un tenedor,JUAN JARAMILLO 7-34 PRESIDENTE BORRERO,
450,SABATINOS,RESTAURANTE,TERCERA,ROBERTO AGUILAR S/N Y AV. 3 DE NOVIEMBRE,
451,HOSTERIA ARANDU,HOSTERÍA,3 Estrellas,"VIA DOS MANGAS, KM 3.5  S/N RUTA DEL SPONDYLUS ",www.hosteriaarandu.com
452,RINCON DEL CAFE EL ,CAFETERÍA,CUARTA,JUAN JARAMILLO 7-85 Y LUIS CORDERO ,
453,GONZALEZ Y GONZALEZ,HOSTAL,2 Estrellas,AV. PASEO DE LOS CAÑARIS 5-30 ENRIQUE GIL GILBERT,
454,GONZALEZ Y GONZALEZ,RESTAURANTE,TERCERA,PASEO DE LOS CAÑARIS 5-30,
455,RESTAURANTE CHRISTIAN,RESTAURANTE,SEGUNDA / 3 TENEDORES,Montufar N4-145 y Chile,
456,VAQUERIA ASADERO LA,RESTAURANTE,TERCERA,AV.  8 DE ABRIL S/N MOZART ZAFADI,
457,Aventura Park Hacienda Bellavista,HOSTERÍA,4 Estrellas,"Av.Giron Pasaje S/N Loma de Lentag, via a San Josè de Balsapamba",www.aventuraparkbellavista.com
458,ARMADILLO,RESTAURANTE,SEGUNDA,GRAN COLOMBIA Y E DE TORAL,
459,SALON DON HENRY,RESTAURANTE,TERCERA / 2 TENEDORES,LA GASCA OE5-205 y FERNANDO DE SANTILLAN,
460,ISLA BONITA DE COJIMIES,HOTEL,2 Estrellas,ALEJO CENTENO S/N MALECÓN,
461,DOCE 91,RESTAURANTE,CUARTA,LUIS CORDERO 12-91 Y VEGA MUÑOZ,
462,DULZURAS CAFE - BISTRO,CAFETERÍA,TERCERA,CARLOS V N5 E ISABEL LA CATOLICA,
463,CRISTALES EVENTOS LOS,SALA DE RECEPCIONES Y BANQUETES,SEGUNDA,YANAHURCO S/N Y LOS ANDES,
464,CAESAR PALACES,HOTEL,2 Estrellas,EMILIO ABAD 507 SAMUEL ABAD,
465,YOGURT PERSA,CAFETERÍA,(1) Una tazas,REMIGIO CRESPO S/N SANTA CRUZ,
466,MAJESTIC II,HOTEL,3 Estrellas,GRAN COLOMBIA 2-07 MANUEL VEGA,www.hotelesmajestic.com
467,HOTEL MAJESTIC I,HOTEL,2 Estrellas,LUIS COREDERO 11 29 MARISCAL LAMAR,www.hotelmajesticcuenca.com
468,HOTEL MAJESTIC II,HOTEL,3 Estrellas,GRAN COLOMBIA  2-07 MANUEL VEGA,www.majesticsanblas.com
469,JAQUE,BAR,TERCERA,HONORATO VASQUEZ 7-17 Y ANTONIO BORRERO,
